"hotelName;stars;price;cityName;countryCode;countryName;address;location;url;latitude;longitude"
"Diego de Almagro Punta Arenas;4;147;Punta Arenas;CL;Chile;Colon 1290;Punta Arenas Chile;;-53.1631;-70.8968"
"Estancia Rio De Los Ciervos;3;99999;Punta Arenas;CL;Chile;Km. 5 1/2 Sur;Punta Arenas Chile;http://www.estanciariodelosciervos.com/eng/;-53.1642;-70.9108"
"Hostal Ainil;2;57;Punta Arenas;CL;Chile;Lautaro Navarro 230;Punta Arenas Chile;www.hostalainil.com;-53.1558;-70.8978"
"Hostal B&B;2.5;62;Punta Arenas;CL;Chile;Ohiggins 693;Punta Arenas Chile;;-53.1605;-70.9006"
"Hostal El Mirador;2;50;Punta Arenas;CL;Chile;Presidente Manuel Balmeceda 648;Punta Arenas Chile;http://hostalelmirador.cl/;-53.1643;-70.9121"
"Hostal Kloketen;1;39;Punta Arenas;CL;Chile;Zenteno 626;Punta Arenas Chile;http://www.hostalkloketen.com/spanish;-53.1552;-70.9176"
"Hotel Best Western Finis Terrae;4;114;Punta Arenas;CL;Chile;Avenida Colon 766;Punta Arenas Chile;http://www.hotelfinisterrae.com/;-53.1602;-70.9052"
"Hotel Carpa Manzano;3;99999;Punta Arenas;CL;Chile;Lautaro Navarro 336;Punta Arenas Chile;http://www.hotelcarpamanzano.com/;-53.157;-70.9"
"Hotel del Estrecho;5;171;Punta Arenas;CL;Chile;O Higgins 1235;Punta Arenas Chile;;-53.166;-70.9059"
"Hotel Isla Rey Jorge;4;99999;Punta Arenas;CL;Chile;21 De Mayo 1243;Punta Arenas Chile;http://www.islareyjorge.com/;-53.1648;-70.9088"
"Hotel Los Navegantes;3;94;Punta Arenas;CL;Chile;Jose Menendez 647;Punta Arenas Chile;http://hotellosnavegantes.com/;-53.1607;-70.9082"
"Hotel Rey Don Felipe;4;119;Punta Arenas;CL;Chile;Armando Sanhueza 965;Punta Arenas Chile;www.hotelreydonfelipe.com;-53.1607;-70.9111"
"Jose Nogueira;4;99999;Punta Arenas;CL;Chile;Bories 959;Punta Arenas Chile;http://www.hotelnogueira.com/en_main.html;-53.1617;-70.9079"
"Patagonia Pionera Hotel;3;129;Punta Arenas;CL;Chile;Arauco 786;Punta Arenas Chile;http://www.hotelpatagoniapionera.cl/home.html;-53.1565;-70.9144"
"Plaza Hotel Punta Arenas;3;85;Punta Arenas;CL;Chile;Jose Nogueira 1116;Punta Arenas Chile;http://www.hotelplaza.cl/;-53.1626;-70.9079"
"Shepherd Inn;2;54;Punta Arenas;CL;Chile;Vicente Reyes 757;Punta Arenas Chile;;-53.1502;-70.8957"
"Sociedad De Turismo Rio Serrano;3;99999;Punta Arenas;CL;Chile;Ignacio Carrera Pinto 710;Punta Arenas Chile;;-53.1589;-70.9049"
"Tierra Del Fuego;3;171;Punta Arenas;CL;Chile;Av. Colon 716;Punta Arenas Chile;;-53.1598;-70.9057"
"Grande Hotel;5;99999;Rio Grande (Argentina);AR;Argentina;Federico Echelaine 251;Rio Grande (Argentina) Argentina;;-53.7877;-67.7324"
"Hosteria Mirador Del Payne;2;99999;Torres del Paine;CL;Chile;Estancia Lazo Without Nro;Torres del Paine Chile;http://www.miradordelpayne.com/index-in.html;-51;-73.094"
"Lago Grey Hosteria And Navegacion;3;207;Torres del Paine;CL;Chile;Sector Lago Grey S/N;Torres del Paine Chile;http://www.lagogrey.cl/;-51.1731;-73.0979"
"Alberto Agostini;3;99999;Puerto Natales;CL;Chile;OHiggins 632;Puerto Natales Chile;;-51.7291;-72.5022"
"Alcazar Hotel Puerto Natales;3;53;Puerto Natales;CL;Chile;Manuel Balmaceda 722;Puerto Natales Chile;http://www.hotelalcazarnatales.com/ING/index.html;-51.7195;-72.4844"
"Altiplanico Sur;4;99999;Puerto Natales;CL;Chile;Huerto Familiar 282;Puerto Natales Chile;http://www.travelandleisure.com/articles/patagonia-inside-out;-51.7331;-72.4977"
"Aquaterra;3;99999;Puerto Natales;CL;Chile;Bulnes 299;Puerto Natales Chile;;-51.7299;-72.5142"
"Backpackers Arkya;1;11;Puerto Natales;CL;Chile;Arturo Prat 367;Puerto Natales Chile;;-51.7282;-72.505"
"Bories House;3;91;Puerto Natales;CL;Chile;Puerto Bories 13;Puerto Natales Chile;http://www.borieshouse.cl/index.html;-51.687;-72.5544"
"Casa Lucy;1;74;Puerto Natales;CL;Chile;Miraflores 969;Puerto Natales Chile;http://www.casalucypuertonatales.com/;-51.7319;-72.5023"
"Charles Darwin Hotel;3;69;Puerto Natales;CL;Chile;Manuel Bulnes 90;Puerto Natales Chile;http://hotelcharlesdarwin.com/;-51.7288;-72.5115"
